Hour,Load (W),Solar Power (W),Wind Power (W),Solar Used (W),Wind Used (W),Generator Used (W),Solar Cost (N),Wind Cost (N),Generator Cost (N),Total Cost (N),Selected Source
0,220,0.10064,634.6,0.0,220.0,0.0,0.0,44000.0,0.0,44000.0,Wind
1,230,0.36116,733.76,0.0,230.0,0.0,0.0,46000.0,0.0,46000.0,Wind
2,240,1.1598,818.39,0.0,240.0,0.0,0.0,48000.0,0.0,48000.0,Wind
3,250,3.3327,654.97,0.0,250.0,0.0,0.0,50000.0,0.0,50000.0,Wind
4,260,8.5697,613.94,0.0,260.0,0.0,0.0,52000.0,0.0,52000.0,Wind
5,270,19.719,587.47,0.0,270.0,0.0,0.0,54000.0,0.0,54000.0,Wind
6,280,40.601,678.97,0.0,280.0,0.0,0.0,56000.0,0.0,56000.0,Wind
7,290,74.806,719.86,0.0,290.0,0.0,0.0,58000.0,0.0,58000.0,Wind
8,300,123.33,642.3,0.0,300.0,0.0,0.0,60000.0,0.0,60000.0,Wind
9,310,181.96,595.1,0.0,310.0,0.0,0.0,62000.0,0.0,62000.0,Wind
10,320,240.22,643.84,0.0,320.0,0.0,0.0,64000.0,0.0,64000.0,Wind
11,330,283.79,695.86,0.0,330.0,0.0,0.0,66000.0,0.0,66000.0,Wind
12,1400,300.0,648.41,300.0,648.41,451.59000000000003,30000.0,129682.0,67.7385,159749.7385,"Solar, Wind, Generator"
13,1500,283.79,651.23,283.79,651.23,564.98,28379.000000000004,130246.0,84.747,158709.747,"Solar, Wind, Generator"
14,1600,240.22,636.94,240.22,636.94,722.8399999999999,24022.0,127388.00000000001,108.42599999999999,151518.426,"Solar, Wind, Generator"
15,1700,181.96,696.95,181.96,696.95,821.0899999999999,18196.0,139390.0,123.16349999999998,157709.1635,"Solar, Wind, Generator"
16,1800,123.33,610.48,123.33,610.48,1066.19,12333.0,122096.0,159.9285,134588.9285,"Solar, Wind, Generator"
17,1900,74.806,728.35,74.806,728.35,1096.844,7480.599999999999,145670.0,164.5266,153315.12660000002,"Solar, Wind, Generator"
18,2300,40.601,692.31,40.601,692.31,1567.089,4060.1,138462.0,235.06334999999999,142757.16335000002,"Solar, Wind, Generator"
19,2200,19.719,620.21,19.719,620.21,1560.071,1971.9,124042.0,234.01064999999997,126247.91064999999,"Solar, Wind, Generator"
20,2200,8.5697,645.61,8.5697,645.61,1545.8202999999999,856.9699999999999,129122.0,231.87304499999996,130210.843045,"Solar, Wind, Generator"
21,2100,3.3327,704.21,3.3327,704.21,1392.4573,333.27,140842.0,208.868595,141384.138595,"Solar, Wind, Generator"
22,2100,1.1598,727.39,1.1598,727.39,1371.4502000000002,115.97999999999999,145478.0,205.71753000000004,145799.69753,"Solar, Wind, Generator"
23,2100,0.36116,662.95,0.36116,662.95,1436.68884,36.116,132590.0,215.503326,132841.61932600001,"Solar, Wind, Generator"
